"date","content","author"
"5","
    <:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898> 

    Hey @everyone, here is today's problem !
    **Description**: You are given an array and a string of size N. Here the value of ith character in the string denotes the value at ith position of the value array. Your task is to choose a subsequence of the given array such that there are no more than K consecutive characters of same type. You have to maximize the sum and then print it. 
 
    **Link**: https://codeforces.com/problemset/problem/1107/C             
    **Type**: string
    **Difficulty**: easy
    ","AgentX"
"5","
    <:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898><:octagonal_sign:784716297413328898> 

    Hey @everyone, here is today's problem !
    **Description**: You are given an array and a string of size N. Here the value of ith character in the string denotes the value at ith position of the value array. Your task is to choose a subsequence of the given array such that there are no more than K consecutive characters of same type. You have to maximize the sum and then print it. 
 
    **Link**: https://codeforces.com/problemset/problem/1107/C             
    **Type**: string
    **Difficulty**: easy
    ","AgentX"
